/ufrc/burleigh/nhans/GitHubNH/revBB
c23a-s39.ufhpc
Fri May 31 01:43:10 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbd_1_.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 2 different moves in a random move schedule with 6 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
Step  7 / 31		****************************************
Step  8 / 31		****************************************
Step  9 / 31		****************************************
Step 10 / 31		****************************************
Step 11 / 31		****************************************
Step 12 / 31		****************************************
Step 13 / 31		****************************************
Step 14 / 31		****************************************
Step 15 / 31		****************************************
Step 16 / 31		****************************************
Step 17 / 31		****************************************
Step 18 / 31		****************************************
Step 19 / 31		****************************************
Step 20 / 31		****************************************
Step 21 / 31		****************************************
Step 22 / 31		****************************************
Step 23 / 31		****************************************
Step 24 / 31		****************************************
Step 25 / 31		****************************************
Step 26 / 31		****************************************
Step 27 / 31		****************************************
Step 28 / 31		****************************************
Step 29 / 31		****************************************
Step 30 / 31		****************************************
Step 31 / 31		****************************************
   Processing of file "0_scripts/ss-marginal.Rev" completed
   Missing Variable:	Variable marginalLike does not exist
   Error:	Problem processing line 75 in file "0_scripts/bd-tree-analysis.Rev"
> 
